image,none,infection,ischaemia,both
501000.jpg,0.006878319458337501,0.5799709260463715,4.635834375221748e-05,0.4131044093519449
501001.jpg,0.0001065445190988612,0.00029075212296447717,0.5631421357393265,0.43646061699837446
501002.jpg,0.8980466723442078,0.10194365307688713,8.887866677298462e-06,8.035173237885829e-07
501003.jpg,0.32461781799793243,0.6747844517230988,7.584196822563172e-05,0.0005218546727050466
501004.jpg,0.10476641794957686,0.028357004281133413,0.8339998126029968,0.032876753131859004
501005.jpg,0.9801430702209473,0.01984783262014389,9.013691851578187e-06,6.279078937354576e-08
501006.jpg,0.9992035627365112,0.0007962004201544914,2.04362784472778e-07,2.4064565661355286e-11
501007.jpg,0.4853673353791237,0.512892410159111,0.0003042075040866621,0.0014360176828631666
501008.jpg,0.027571387006901205,0.9544066190719604,0.00856339889287483,0.00945862615481019
501009.jpg,0.00048386233106612053,2.6032868163383682e-05,0.6591901779174805,0.34029994276352227
501010.jpg,0.9901552200317383,0.009840333803367685,4.419457044461603e-06,2.3683222955461422e-08
501011.jpg,0.9987530410289764,0.001245769777597161,1.1377539976820117e-06,3.1939253824185554e-10
501012.jpg,0.025545933691319078,0.9694560170173645,0.00010564647884736544,0.004892356292269473
501013.jpg,0.07872284483164549,0.4533323789946735,0.4428005926311016,0.025144174695014954
501014.jpg,0.33864957839250565,0.3911585807800293,0.13211757084354758,0.13807430292945355
501015.jpg,0.5621915310621262,0.23703175561968237,0.04123163264992513,0.1595450871710682
501016.jpg,0.1707584410905838,0.8278592526912689,0.00014008034850121476,0.001242217755702768
501017.jpg,0.13676513370592147,0.7805173397064209,0.014194481598678976,0.06852307729423046
501018.jpg,0.9727194607257843,0.027277942863292992,2.5681604244320866e-06,5.449903259235889e-08
501019.jpg,0.9954696893692017,0.0045291896608254945,1.093937994127704e-06,2.0125675844176054e-09
501020.jpg,0.9545965492725372,0.045383126474916935,2.025914846637278e-05,8.584485294838018e-08
501021.jpg,0.0048006708530010656,0.04507454263512045,0.24561159312725067,0.7045131623744965
501022.jpg,0.9904225766658783,0.009561875252984464,1.546047871769929e-05,8.004912466219594e-08
501024.jpg,0.9793429374694824,0.02065565495286137,1.374883346727529e-06,1.933345107618667e-08
501025.jpg,0.33988886699080467,0.12553809251403436,0.5263728313148022,0.008200196898542345
501026.jpg,0.8926355838775635,0.1073472686111927,1.6071175423348905e-05,1.0598004314688048e-06
501027.jpg,0.9526028633117676,0.04735792335122824,3.1436581593879964e-05,7.679814899574922e-06
501028.jpg,0.8075023889541626,0.1924093933776021,8.824792894301936e-05,7.434970306086086e-09
501029.jpg,0.8110290765762329,0.188773849979043,0.00014774141641282768,4.934782560336859e-05
